dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
bright_economics,V8_BM25,0.1114,0.1114,0.1725,0.0856,0.1282,0.0534,0.025,0.2621,0.1204,0.284,0.3689,0.4827,0.5946,0.6957,0.1942,0.3689,0.4563,0.5825,0.835,0.7611,35.2,41.68,48.4,36.02,21.83,108.05,50220,103,180.03,3207.31,9.44,0.0,0.149,0.4951
bright_economics,V8_DPH,0.1577,0.1577,0.2234,0.1168,0.1976,0.0777,0.0283,0.3689,0.1611,0.3464,0.4553,0.5163,0.6436,0.722,0.2621,0.4369,0.5049,0.6602,0.8738,0.7894,34.25,39.61,44.43,35.24,30.67,95.3,50220,103,180.03,3213.15,9.44,0.0,0.1972,0.5631
bright_psychology,V8_BM25,0.0938,0.0938,0.1478,0.0734,0.1003,0.0446,0.0139,0.2277,0.1408,0.2728,0.3439,0.3995,0.5118,0.6326,0.2574,0.3366,0.4356,0.5248,0.7921,0.7041,35.15,41.23,52.85,36.22,21.7,107.86,52835,101,202.29,3230.36,9.87,0.0,0.1326,0.4356
bright_psychology,V8_DPH,0.1742,0.1742,0.224,0.1301,0.2153,0.0832,0.0178,0.3762,0.2203,0.3443,0.4358,0.498,0.5991,0.6961,0.3069,0.4059,0.505,0.6436,0.8515,0.7653,34.3,40.03,48.1,35.43,31.48,94.93,52835,101,202.29,3232.31,9.87,0.0,0.2023,0.5248
bright_biology,V8_BM25,0.086,0.086,0.1428,0.0598,0.1179,0.0359,0.0111,0.2621,0.1258,0.2503,0.326,0.4323,0.5519,0.6852,0.1359,0.2718,0.4272,0.5534,0.8544,0.7299,31.77,37.44,41.93,32.41,24.76,98.38,57359,103,86.62,3228.79,9.66,0.0,0.1245,0.4563
bright_biology,V8_DPH,0.2438,0.2438,0.3241,0.2046,0.349,0.0796,0.0182,0.4854,0.251,0.4348,0.5203,0.6289,0.7167,0.7754,0.2524,0.4757,0.5728,0.7573,0.9029,0.8093,31.72,36.5,42.57,32.18,33.14,88.67,57359,103,86.62,3232.33,9.66,0.0,0.3036,0.6699
fiqa,V8_BM25,0.2446,0.2446,0.3094,0.2006,0.304,0.0681,0.0131,0.483,0.3012,0.4748,0.5504,0.6137,0.6919,0.7591,0.3657,0.5093,0.5787,0.7346,0.8997,0.796,24.85,27.18,30.06,25.04,42.02,66.3,57638,648,95.24,3297.32,9.87,0.0,0.293,0.6775
fiqa,V8_DPH,0.2369,0.2369,0.2985,0.1942,0.2986,0.0642,0.0125,0.466,0.2905,0.4589,0.5267,0.6028,0.68,0.7431,0.3488,0.4923,0.5633,0.7176,0.8904,0.781,24.56,26.95,29.27,24.79,45.12,64.39,57638,648,95.24,3286.53,9.87,0.0,0.2843,0.6636
bright_sustainable_living,V8_BM25,0.0895,0.0895,0.1627,0.0653,0.1115,0.0463,0.0147,0.2963,0.1378,0.3006,0.4059,0.4857,0.6494,0.7354,0.25,0.4537,0.5556,0.6111,0.8704,0.7884,33.5,38.46,46.87,34.19,21.95,105.84,60792,108,204.74,3253.78,9.03,0.0,0.1388,0.4907
bright_sustainable_living,V8_DPH,0.1608,0.1608,0.239,0.1345,0.1906,0.0639,0.0179,0.3889,0.2047,0.3903,0.4768,0.5743,0.7116,0.7892,0.3241,0.5278,0.6204,0.7315,0.9167,0.8463,34.09,38.66,49.49,34.73,30.96,93.72,60792,108,204.74,3254.43,9.03,0.0,0.216,0.6296
bright_robotics,V8_BM25,0.0985,0.0985,0.1672,0.0767,0.1233,0.0416,0.015,0.2772,0.1422,0.3046,0.3852,0.4495,0.5854,0.6887,0.2673,0.3861,0.4752,0.5743,0.8515,0.754,35.16,50.38,69.56,38.34,20.54,113.38,61961,101,85.57,3285.2,10.08,0.0,0.148,0.4851
bright_robotics,V8_DPH,0.154,0.154,0.2316,0.123,0.1822,0.0604,0.0195,0.3663,0.2111,0.3826,0.4803,0.5656,0.6659,0.7623,0.3267,0.4851,0.5644,0.6535,0.8812,0.813,35.49,50.93,68.71,38.95,26.82,104.97,61961,101,85.57,3280.85,10.08,0.0,0.2085,0.5842
bright_stackoverflow,V8_BM25,0.1515,0.1515,0.2203,0.1265,0.1771,0.059,0.0177,0.3162,0.1978,0.3557,0.4443,0.527,0.6183,0.6648,0.3248,0.4786,0.5128,0.5897,0.7692,0.6981,44.55,56.56,71.23,45.82,17.18,131.57,107081,117,158.72,3265.69,13.51,0.0,0.1999,0.4872
bright_stackoverflow,V8_DPH,0.1609,0.1609,0.2226,0.1321,0.1863,0.0641,0.0174,0.3333,0.2089,0.3545,0.4313,0.5143,0.6009,0.6556,0.3077,0.4444,0.4957,0.5726,0.7778,0.6908,45.14,57.17,75.36,46.84,22.94,119.73,107081,117,158.72,3265.2,13.51,0.0,0.2047,0.4786
bright_earth_science,V8_BM25,0.1183,0.1183,0.1887,0.0935,0.1472,0.0578,0.0166,0.319,0.1554,0.3165,0.3908,0.4983,0.5938,0.6685,0.2155,0.3793,0.4655,0.6293,0.8793,0.7369,32.24,38.07,40.74,33.05,23.2,101.38,121249,116,186.11,3257.17,14.84,0.0,0.1701,0.569
bright_earth_science,V8_DPH,0.3563,0.3563,0.4239,0.2901,0.4819,0.1397,0.0259,0.6724,0.3909,0.5513,0.6105,0.6655,0.7203,0.7711,0.3879,0.5086,0.569,0.8534,0.931,0.8269,32.41,38.5,44.42,33.45,32.85,89.8,121249,116,186.11,3312.16,14.84,0.0,0.4075,0.819
trec_covid,V8_BM25,0.5981,0.5739,0.4665,0.082,0.8322,0.64,0.5054,0.96,0.0165,0.0694,0.1201,0.1944,0.3335,0.4483,0.0,0.0,0.0,1.0,1.0,0.9974,21.0,23.58,28.94,21.15,37.41,75.99,171332,50,298.31,3261.99,24.69,0.0,0.5171,1.0
trec_covid,V8_DPH,0.6106,0.5864,0.4582,0.076,0.8306,0.656,0.4892,0.94,0.0164,0.0671,0.1117,0.1794,0.2998,0.4018,0.0,0.0,0.0,1.0,1.0,1.0,36.24,39.7,43.97,34.59,52.03,86.3,171332,50,298.31,3961.98,24.69,0.0,0.5206,1.0
bright_aops,V8_BM25,0.061,0.061,0.1002,0.0412,0.1245,0.0315,0.0094,0.2072,0.0601,0.1321,0.1854,0.2408,0.3435,0.3719,0.018,0.1081,0.1261,0.4414,0.6667,0.4407,45.36,61.13,70.24,47.78,20.03,122.64,188002,111,177.0,3978.48,20.15,0.0,0.0864,0.3333
bright_aops,V8_DPH,0.0533,0.0533,0.0941,0.036,0.1055,0.0306,0.0095,0.2072,0.0578,0.1416,0.1845,0.2301,0.3175,0.3445,0.009,0.0811,0.0991,0.4595,0.6486,0.4137,45.48,62.97,73.54,48.8,21.36,122.26,188002,111,177.0,3984.43,20.15,0.0,0.0828,0.3964
bright_theoremqa_questions,V8_BM25,0.0731,0.0731,0.0899,0.0664,0.0809,0.0144,0.0029,0.1031,0.0857,0.1179,0.16,0.2046,0.2874,0.36,0.1186,0.2113,0.2835,0.2268,0.4485,0.3798,43.81,58.37,71.12,45.37,21.26,114.89,188002,194,177.01,4022.52,20.15,0.0,0.0817,0.1546
bright_theoremqa_questions,V8_DPH,0.0632,0.0632,0.0804,0.0556,0.0668,0.0139,0.0028,0.1031,0.0809,0.1114,0.1582,0.2097,0.29,0.3379,0.1237,0.2216,0.2577,0.2113,0.4381,0.3594,44.89,60.63,74.27,46.69,21.43,116.47,188002,194,177.01,4526.67,20.15,0.0,0.0713,0.1392
webis_touche2020,V8_BM25,0.2781,0.2727,0.4078,0.1816,0.5596,0.2633,0.0865,0.8776,0.1741,0.4332,0.5216,0.6374,0.7688,0.8536,0.0612,0.1837,0.3469,0.9796,1.0,0.9742,17.73,22.14,28.45,18.36,38.21,70.99,382545,49,696.38,4517.73,60.05,0.0,0.3707,0.9592
webis_touche2020,V8_DPH,0.3907,0.3851,0.4804,0.2423,0.6973,0.3531,0.0918,0.9388,0.2305,0.4533,0.5391,0.6587,0.7563,0.8309,0.0408,0.2041,0.2857,0.9796,1.0,0.9728,18.31,22.76,26.49,18.76,62.81,61.52,382545,49,696.38,4527.84,60.05,0.0,0.4437,0.9796
bright_leetcode,V8_BM25,0.237,0.237,0.2717,0.1987,0.2798,0.0585,0.0086,0.4014,0.2833,0.3581,0.4432,0.5095,0.6729,0.7694,0.2958,0.5423,0.6761,0.5986,0.8662,0.7913,93.19,115.22,141.44,96.1,9.2,239.16,413932,142,588.88,5137.81,40.57,0.0,0.2564,0.4789
bright_leetcode,V8_DPH,0.2344,0.2344,0.2733,0.201,0.2838,0.0549,0.0085,0.3873,0.2714,0.3775,0.4367,0.5408,0.6966,0.7858,0.3099,0.5845,0.6831,0.5775,0.8803,0.8079,96.49,117.28,126.54,97.48,10.37,230.0,413932,142,588.88,5137.71,40.57,0.0,0.262,0.5
quora,V8_BM25,0.745,0.745,0.7722,0.7037,0.7339,0.1144,0.0141,0.8921,0.8495,0.9365,0.9571,0.9714,0.9828,0.989,0.9323,0.9692,0.9788,0.9739,0.9945,0.9908,14.27,16.85,19.96,14.28,85.46,28.82,522931,10000,223.9,6185.38,16.0,0.0,0.768,0.9606
quora,V8_DPH,0.4271,0.4271,0.4769,0.387,0.4032,0.0723,0.0111,0.5991,0.5538,0.7145,0.769,0.812,0.8607,0.8947,0.7305,0.8307,0.8694,0.805,0.9144,0.9001,14.94,17.51,20.46,14.93,82.56,29.42,522931,10000,223.9,6214.02,16.0,0.0,0.4667,0.7543
